date,result,fighter,opponent,division,stance,dob,method,total_comp_time,round,time,reach,height,age,knockdowns_x,sub_attempts_x,reversals,control_x,takedowns_attempts,total_strikes_attempts_x,sub_attempts_per_min,takedowns_attempts_per_min,sig_strikes_attempts_per_min,avg_knockdowns,avg_sub_attempts,avg_reversals,avg_control,avg_takedowns_attempts,avg_sig_strikes_landed,avg_sig_strikes_attempts,avg_total_strikes_attempts,gender,year,fighter_type
2006-01-16,0,Aaron Riley,Spencer Fisher,Lightweight,Southpaw,1980-12-09,KO/TKO,300,1,5:00,69.0,68.0,41.0,0,0,0,89,4,32,0.0,0.8,4.6,0.0,0.5,0.0,87.5,3.5,32.0,76.5,101.0,Male,2006,Volume_Striker
2008-11-15,1,Aaron Riley,Jorge Gurgel,Lightweight,Southpaw,1980-12-09,U-DEC,900,3,5:00,69.0,68.0,41.0,0,0,0,147,1,261,0.0,0.0666666666666666,14.8,0.0,0.3333333333333333,0.0,107.33333333333331,2.6666666666666665,54.0,125.0,154.33333333333334,Male,2008,Volume_Striker
2009-03-07,0,Aaron Riley,Shane Nelson,Lightweight,Southpaw,1980-12-09,KO/TKO,44,1,0:44,69.0,68.0,41.0,0,0,0,2,0,9,0.0,0.0,12.272727272727272,0.0,0.25,0.0,81.0,2.0,41.5,96.0,118.0,Male,2009,Volume_Striker
2009-08-08,1,Aaron Riley,Shane Nelson,Lightweight,Southpaw,1980-12-09,U-DEC,900,3,5:00,69.0,68.0,41.0,0,0,0,468,5,236,0.0,0.3333333333333333,8.133333333333333,0.0,0.2,0.0,158.4,2.6,43.2,101.2,141.6,Male,2009,Volume_Striker
2009-11-14,0,Aaron Riley,Ross Pearson,Lightweight,Southpaw,1980-12-09,KO/TKO,578,2,4:38,69.0,68.0,41.0,0,0,0,19,2,77,0.0,0.2076124567474048,7.577854671280277,0.0,0.1666666666666666,0.0,135.16666666666666,2.5,38.5,96.5,130.83333333333334,Male,2009,Volume_Striker
2010-05-29,1,Aaron Riley,Joe Brammer,Lightweight,Southpaw,1980-12-09,U-DEC,900,3,5:00,69.0,68.0,41.0,0,0,0,306,8,184,0.0,0.5333333333333333,6.933333333333334,0.0,0.1428571428571428,0.0,159.57142857142858,3.2857142857142856,39.57142857142857,97.57142857142856,138.42857142857142,Male,2010,Volume_Striker
2011-09-24,0,Aaron Riley,Tony Ferguson,Lightweight,Southpaw,1980-12-09,KO/TKO,300,1,5:00,69.0,68.0,41.0,0,0,0,0,0,49,0.0,0.0,9.8,0.0,0.125,0.0,139.625,2.875,36.0,91.5,127.25,Male,2011,Volume_Striker
2013-07-27,0,Aaron Riley,Justin Salas,Lightweight,Southpaw,1980-12-09,S-DEC,900,3,5:00,69.0,68.0,41.0,0,0,0,0,0,172,0.0,0.0,11.466666666666669,0.0,0.1111111111111111,0.0,124.11111111111111,2.555555555555556,34.888888888888886,100.44444444444444,132.22222222222223,Male,2013,Volume_Striker
2006-01-16,1,Spencer Fisher,Aaron Riley,Lightweight,Southpaw,1976-05-09,KO/TKO,300,1,5:00,68.0,67.0,46.0,0,0,0,0,0,70,0.0,0.0,13.0,0.0,1.5,0.0,37.5,1.0,19.0,50.5,58.0,Male,2006,Volume_Striker
2006-03-04,0,Spencer Fisher,Sam Stout,Lightweight,Southpaw,1976-05-09,S-DEC,900,3,5:00,68.0,67.0,46.0,0,3,1,259,9,172,0.2,0.6,9.866666666666667,0.0,2.0,0.3333333333333333,111.33333333333331,3.6666666666666665,30.33333333333333,83.0,96.0,Male,2006,Volume_Striker
2006-05-27,1,Spencer Fisher,Matt Wiman,Lightweight,Southpaw,1976-05-09,KO/TKO,403,2,1:43,68.0,67.0,46.0,1,0,0,118,0,58,0.0,0.0,5.806451612903226,0.25,1.5,0.25,113.0,2.75,29.5,72.0,86.5,Male,2006,Volume_Striker
2006-10-14,1,Spencer Fisher,Dan Lauzon,Lightweight,Southpaw,1976-05-09,KO/TKO,278,1,4:38,68.0,67.0,46.0,1,0,0,11,0,32,0.0,0.0,3.669064748201439,0.4,1.2,0.2,92.6,2.2,26.2,61.0,75.6,Male,2006,Volume_Striker
2007-01-25,0,Spencer Fisher,Hermes Franca,Lightweight,Southpaw,1976-05-09,KO/TKO,543,2,4:03,68.0,67.0,46.0,0,0,0,4,0,90,0.0,0.0,6.740331491712706,0.3333333333333333,1.0,0.1666666666666666,77.83333333333333,1.8333333333333333,25.83333333333333,61.0,78.0,Male,2007,Volume_Striker
